D0:B5:C2:91:2A:BA,D0:B5:C2:91:2D:E4,D0:B5:C2:91:24:E7,D0:B5:C2:91:36:BF,class
-66.0,-72.0,-54.0,-82.0,A
-67.0,-76.0,-58.0,-72.0,A
-68.0,-73.0,-57.0,-73.0,A
-73.0,-79.0,-50.0,-72.0,A
-70.0,-78.0,-49.0,-70.0,A
-85.0,-70.0,-50.0,-73.0,A
-73.0,-76.0,-57.0,-75.0,A
-75.0,-76.0,-59.0,-73.0,A
-74.0,-77.0,-50.0,-72.0,A
-74.0,-94.0,-57.0,-74.0,A
-79.0,-96.0,-50.0,-76.0,A
-79.0,-77.0,-50.0,-74.0,A
-81.0,-83.0,-50.0,-77.0,A
-66.0,-92.0,-70.0,-85.0,B
-70.0,-88.0,-65.0,-72.0,B
-70.0,-87.0,-66.0,-72.0,B
-73.0,-78.0,-73.0,-86.0,B
-68.0,-83.0,-64.0,-72.0,B
-76.0,-84.0,-61.0,-57.0,B
-90.0,-77.0,-68.0,-62.0,B
-68.0,-74.0,-66.0,-66.0,B
-75.0,-72.0,-70.0,-76.0,B
-72.0,-76.0,-73.0,-67.0,B
-80.0,-76.0,-76.0,-67.0,B
-79.0,-76.0,-76.0,-62.0,B
-58.0,-89.0,-72.0,-60.0,B
-56.0,-85.0,-68.0,-61.0,B
-50.0,-85.0,-70.0,-70.0,C
-50.0,-96.0,-72.0,-74.0,C
-57.0,-90.0,-72.0,-61.0,C
-58.0,-87.0,-68.0,-65.0,C
-55.0,-86.0,-82.0,-70.0,C
-53.0,-86.0,-81.0,-74.0,C
-50.0,-96.0,-74.0,-73.0,C
-61.0,-84.0,-79.0,-70.0,C
-67.0,-70.0,-83.0,-69.0,D
-73.0,-69.0,-81.0,-66.0,D
-73.0,-70.0,-81.0,-67.0,D
-74.0,-60.0,-83.0,-76.0,D
-74.0,-62.0,-79.0,-75.0,D
-83.0,-79.0,-74.0,-71.0,D
-75.0,-68.0,-73.0,-69.0,D
-79.0,-72.0,-73.0,-71.0,D
-66.0,-69.0,-82.0,-69.0,D
-77.0,-61.0,-74.0,-71.0,D
-76.0,-58.0,-71.0,-78.0,D
-74.0,-90.0,-80.0,-72.0,E
-74.0,-82.0,-79.0,-70.0,E
-69.0,-82.0,-64.0,-66.0,E
-72.0,-86.0,-62.0,-62.0,E
-70.0,-88.0,-72.0,-64.0,E
-68.0,-92.0,-62.0,-72.0,E
-72.0,-86.0,-61.0,-63.0,E
-73.0,-83.0,-62.0,-62.0,E
-69.0,-90.0,-72.0,-72.0,E
-72.0,-80.0,-74.0,-71.0,E
-72.0,-85.0,-74.0,-74.0,E
-74.0,-93.0,-79.0,-45.0,F
-88.0,-87.0,-75.0,-39.0,F
-80.0,-88.0,-73.0,-41.0,F
-72.0,-84.0,-85.0,-50.0,F
-73.0,-89.0,-82.0,-48.0,F
-77.0,-85.0,-80.0,-43.0,F
-79.0,-95.0,-88.0,-54.0,F
-73.0,-96.0,-86.0,-49.0,F
-74.0,-92.0,-80.0,-47.0,F
-67.0,-91.0,-87.0,-48.0,F
-72.0,-89.0,-79.0,-59.0,F
-69.0,-89.0,-87.0,-52.0,F
-70.0,-84.0,-71.0,-73.0,F
-80.0,-96.0,-76.0,-53.0,F
-76.0,-85.0,-73.0,-57.0,F
-96.0,-95.0,-73.0,-53.0,F
